,Link,Thumbnail,Title,Views,Time
1,https://www.youtube.com/watch?v=hzwEXoQDNCs,https://i.ytimg.com/vi/hzwEXoQDNCs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAXhl34wI4pQBeQTdp7mulwqCUtfg,Aarambh Batch 2024 | For CBSE Class 11th Commerce | Biggest Launch🔥,8 waiting,"Premieres 27/03/2023, 19:00"
2,https://www.youtube.com/watch?v=0s6hAsFGxYE,https://i.ytimg.com/vi/0s6hAsFGxYE/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARg5IGMocjAP&rs=AOn4CLAFvkey1eyDuG3WOpaPovWVNy2Yvg,India's NO.1 Batch for Class 10th - UDAAN ⚡ Launching Today !! Check Description.,59K views,4 days ago
3,https://www.youtube.com/watch?v=YXRyMc_noiE,https://i.ytimg.com/vi/YXRyMc_noiE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAi_xYCvafaojkGGWRj-SrCV1sxcQ,India's Biggest Scholarship Test for Classes 8th to 12th !! 🔥🔥 || PW SAT 2023 ⚡💥,72K views,5 days ago
4,https://www.youtube.com/watch?v=PI1obes98Zc,https://i.ytimg.com/vi/PI1obes98Zc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDyWGBtPVQCXcUM1DiCpOeszoKAsQ,How to score 95%+ in class 10th? Complete year Powerful Strategy!!,265K views,2 weeks ago
5,https://www.youtube.com/watch?v=16fUsD0M1-I,https://i.ytimg.com/vi/16fUsD0M1-I/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLByRUwFQYHPXlsq0XinNUla0MZtNw,Last 4 Days Left For SST Exam || How To Manage to Score 80/80 in Boards || Class-10th,69K views,2 weeks ago
